   DATE         TIME     LAT.   LONG.  DEPTH    MAGNITUDE            
                   (GMT)    (N)    (E)    (km)       (Local)
 2017 JAN  9   17 46 25.0 38.3382 21.7298    6         2.1
 2017 JAN  9   18 04 58.0 39.5793 20.6162   12         2.7
 2017 JAN  9   18 07 33.0 39.5693 20.6208   16         2.3
 2017 JAN  9   18 34 58.0 37.9767 22.1625    7         1.7
 2017 JAN  9   18 44 17.0 38.4693 23.4473   14         2.2
 2017 JAN  9   19 01 46.0 38.3453 21.7423   10         1.9
 2017 JAN  9   19 27 36.0 37.8088 21.2975   27         2.0
 2017 JAN  9   19 37 03.0 38.3278 21.7210   14         2.2
 2017 JAN  9   20 02 29.0 37.7593 23.9062    7         1.8
 2017 JAN  9   20 16 32.0 38.3397 21.7320   13         1.6
 2017 JAN  9   20 23 15.0 38.3447 21.7183   10         1.8
 2017 JAN  9   20 24 15.0 38.3490 21.7258   10         1.6
 2017 JAN  9   20 48 41.0 38.3128 21.7408   10         1.3
 2017 JAN  9   20 49 24.0 38.3463 21.7230   12         1.6
 2017 JAN  9   22 38 34.0 38.3317 21.7175   15         1.2
 2017 JAN  9   22 38 50.0 36.4435 23.0310   18         2.1
 2017 JAN  9   23 07 35.0 38.3350 21.7327   10         1.4
 2017 JAN  9   23 20 54.0 38.3377 21.7322   11         1.8
 2017 JAN  9   23 28 36.0 38.3462 21.7235    8         2.2
 2017 JAN  9   23 33 32.0 38.3203 21.6942   14         3.1
 2017 JAN  9   23 49 25.0 38.3465 21.7338   13         1.6
 2017 JAN  9   23 56 55.0 36.5945 21.3350    9         2.2
 2017 JAN 10   00 00 05.0 34.3560 26.1585    9         3.3
 2017 JAN 10   00 31 59.0 38.3287 21.7537   14         1.9
 2017 JAN 10   00 46 51.0 35.5632 24.2802   71         3.0
 2017 JAN 10   00 48 53.0 38.3383 21.7358   13         2.4
 2017 JAN 10   01 26 18.0 40.8230 21.2582   10         2.2
 2017 JAN 10   01 27 54.0 38.3655 21.7150   14         1.1
 2017 JAN 10   01 28 42.0 38.3505 21.7458   13         0.9
 2017 JAN 10   01 36 13.0 38.3268 21.7302   12         2.0
 2017 JAN 10   01 37 21.0 38.3563 21.7062   18         1.6
 2017 JAN 10   02 35 23.0 40.5823 23.5265   10         1.5
 2017 JAN 10   02 43 44.0 37.4292 20.5592   12         2.3
 2017 JAN 10   03 23 48.0 38.4072 21.7878   10         1.7
 2017 JAN 10   04 05 25.0 38.8388 20.7032   12         2.3
 2017 JAN 10   04 24 19.0 38.0873 22.7645   10         2.2
 2017 JAN 10   04 55 50.0 38.3370 21.7395   13         1.5
 2017 JAN 10   06 39 21.0 38.2003 21.6340   16         2.3
 2017 JAN 10   06 46 54.0 38.4610 21.8960   12         2.0
 2017 JAN 10   09 59 04.0 37.3985 20.5255    9         2.5
 2017 JAN 10   10 21 35.0 37.9612 21.7070   25         2.7
 2017 JAN 10   10 41 59.0 36.6565 21.5207   29         2.1
 2017 JAN 10   10 49 22.0 38.3530 21.7243   13         1.7
 2017 JAN 10   11 19 03.0 36.3442 21.9468   33         2.4
 2017 JAN 10   12 01 52.0 38.7298 20.5858   10         1.8
 2017 JAN 10   12 44 52.0 38.3213 21.7197    4         4.2
 2017 JAN 10   12 55 15.0 36.3003 23.0998    9         3.4
 2017 JAN 10   13 00 33.0 38.3495 21.7260   15         2.4
 2017 JAN 10   13 26 25.0 38.3405 21.7432   12         2.2
 2017 JAN 10   13 33 36.0 38.3520 21.7347   17         2.1
 2017 JAN 10   14 21 34.0 38.3380 21.7268   17         2.1
 2017 JAN 10   14 30 23.0 38.3273 21.7253   15         1.5
 2017 JAN 10   15 40 27.0 35.4183 23.3068   24         2.7
 2017 JAN 10   15 49 59.0 34.7120 23.0593   14         3.1
 2017 JAN 10   16 17 05.0 38.3318 21.7497   15         1.3
 2017 JAN 10   16 21 29.0 34.9775 23.3480   16         2.8
 2017 JAN 10   16 29 26.0 38.3405 21.7185    9         2.0
 2017 JAN 10   16 39 11.0 38.3482 21.7160   10         1.4
 2017 JAN 10   16 54 35.0 38.3528 21.7330   14         2.6
 2017 JAN 10   17 46 28.0 37.6852 22.8430   72         2.3
 2017 JAN 10   17 48 19.0 37.9548 21.5520   22         1.8
 2017 JAN 10   17 56 42.0 38.3262 21.7230   10         1.5
 2017 JAN 10   18 01 34.0 38.0032 22.8852   10         2.4
 2017 JAN 10   18 27 51.0 38.3347 21.7430    8         1.5
 2017 JAN 10   18 37 34.0 38.0663 22.8832    6         1.7
 2017 JAN 10   19 33 48.0 38.3267 21.7237    4         3.3
 2017 JAN 10   20 02 52.0 37.4705 20.5017    3         1.9
 2017 JAN 10   20 18 05.0 38.3462 21.7248   10         1.9
 2017 JAN 10   20 36 53.0 38.3300 21.7408   10         1.2
 2017 JAN 10   20 51 12.0 40.3417 23.9678    8         2.0
 2017 JAN 10   22 26 33.0 38.3270 21.7175   10         1.7
 2017 JAN 10   22 57 27.0 38.3453 21.7413    9         2.5
 2017 JAN 10   23 01 59.0 38.3390 21.7410   10         1.6
 2017 JAN 10   23 30 19.0 37.9410 22.5498   11         1.4
 2017 JAN 11   00 10 40.0 38.3567 21.7180   10         2.2
 2017 JAN 11   00 18 49.0 38.3233 21.7467   13         1.5
 2017 JAN 11   01 20 17.0 38.3278 21.7148   16         1.2
 2017 JAN 11   01 25 41.0 38.3430 21.7202   15         1.3
 2017 JAN 11   01 40 34.0 36.1963 22.3642   67         2.7
 2017 JAN 11   02 08 09.0 38.4560 23.4478   14         1.3
 2017 JAN 11   02 21 14.0 38.3367 21.7027    9         2.2
 2017 JAN 11   02 22 30.0 38.3475 21.6790   12         2.0
 2017 JAN 11   02 37 06.0 38.3075 21.7043   16         2.3
 2017 JAN 11   02 39 15.0 38.3193 21.6803    5         2.5
 2017 JAN 11   05 34 25.0 38.3310 21.6850    5         2.3
 2017 JAN 11   05 41 09.0 38.7250 20.6100   10         2.1
 2017 JAN 11   06 30 10.0 38.3245 21.7213    5         1.9
 2017 JAN 11   06 50 27.0 34.9107 25.1112   16         2.9
 2017 JAN 11   07 07 36.0 38.3457 21.7362    5         2.1
 2017 JAN 11   07 45 29.0 38.1435 22.6925    5         2.5
 2017 JAN 11   09 04 55.0 38.3617 21.7130   15         1.6
 2017 JAN 11   09 47 37.0 38.3207 21.6853    7         2.2
 2017 JAN 11   10 57 15.0 38.3323 21.6992    5         3.1
 2017 JAN 11   11 23 09.0 38.1510 22.9672    5         0.7
 2017 JAN 11   11 49 13.0 40.6202 22.9818    5         2.1
 2017 JAN 11   11 58 32.0 37.9553 20.2137    8         2.4
 2017 JAN 11   12 22 29.0 38.3452 21.7347    8         2.0
 2017 JAN 11   12 34 05.0 38.3233 21.7030    8         2.3
 2017 JAN 11   13 22 38.0 40.3617 21.0727    7         2.0
 2017 JAN 11   13 23 12.0 40.3652 23.9753    5         1.8
 2017 JAN 11   15 00 11.0 34.9058 26.1743   11         3.1
 2017 JAN 11   15 07 32.0 38.2935 21.6722    8         2.7
 2017 JAN 11   15 11 10.0 38.3463 21.7127   11         1.2
 2017 JAN 11   15 22 29.0 38.3395 21.6913   10         2.5
 2017 JAN 11   15 34 05.0 34.7813 23.1943   16         3.3
 2017 JAN 11   15 44 14.0 38.3403 21.7258   10         1.5
 2017 JAN 11   15 46 16.0 38.3427 21.7457   15         1.6
 2017 JAN 11   15 49 53.0 38.3305 21.7030   18         1.5
 2017 JAN 11   15 50 29.0 34.3655 22.3992   10         4.1
 2017 JAN 11   17 12 16.0 38.3417 21.7175    5         1.4
 2017 JAN 11   17 22 36.0 38.3242 21.7150   16         1.6
 2017 JAN 11   17 55 14.0 40.6928 21.5120   15         1.7
 2017 JAN 11   17 56 47.0 40.4702 22.6215   10         2.0
 2017 JAN 11   18 23 31.0 41.2335 23.9318   12         1.1
 2017 JAN 11   19 28 04.0 38.3453 21.7383   18         1.4
 2017 JAN 11   19 43 59.0 34.9227 23.2722   14         3.3
 2017 JAN 11   19 50 08.0 34.8893 23.2468    5         2.6
 2017 JAN 11   20 00 06.0 38.3522 21.7408   12         1.3
 2017 JAN 11   20 12 18.0 34.7345 23.1307    5         2.9
 2017 JAN 11   20 32 08.0 38.9828 23.3113   16         1.6
