      DATE         TIME     LAT.   LONG.  DEPTH    MAGNITUDE            
                   (GMT)    (N)    (E)    (km)       (Local)
 2020 JAN  9   01 17 56.0 35.7742 28.2907    5         3.5
 2020 JAN  9   04 01 20.2 37.9248 21.6650   32         1.5
 2020 JAN  9   04 29 46.2 37.7344 21.7969   16         1.5
 2020 JAN  9   05 49 01.6 38.4366 20.4959   18         3.2
 2020 JAN  9   06 48 16.2 39.2139 22.8369   29         2.1
 2020 JAN  9   09 47 41.6 38.9355 23.1738   16         1.7
 2020 JAN  9   11 33 32.8 38.6655 23.6581   12         1.6
 2020 JAN  9   14 09 00.2 38.3217 23.8225   12         2.2
 2020 JAN  9   14 46 23.7 38.4421 20.4611   22         1.3
 2020 JAN  9   15 14 10.4 39.0038 21.1024   21         1.6
 2020 JAN  9   15 50 22.8 39.7348 20.6131    6         2.3
 2020 JAN  9   16 42 52.1 39.2702 22.0454    9         2.3
 2020 JAN  9   17 44 10.6 37.5435 20.8745   13         1.6
 2020 JAN  9   17 46 02.3 37.4496 20.8310    7         1.4
 2020 JAN  9   17 57 16.5 39.8172 20.6552   12         2.3
 2020 JAN  9   19 06 00.7 36.6907 27.3816   69         3.5
 2020 JAN  9   19 44 54.0 38.5909 21.6399   12         1.5
 2020 JAN  9   19 56 54.4 38.2732 22.4400   13         1.5
 2020 JAN  9   20 40 32.7 38.0296 22.9985    5         1.2
 2020 JAN  9   20 52 17.7 38.3611 22.0473   10         1.1
 2020 JAN  9   21 16 00.9 36.2265 22.6309   12         2.1
 2020 JAN  9   22 00 44.1 37.7989 21.8962   15         1.2
 2020 JAN  9   22 08 10.9 37.5632 20.6479   12         1.9
 2020 JAN  9   23 56 00.3 38.1139 23.1981    5         1.7
 2020 JAN 10   00 11 53.7 36.7520 27.2507    7         2.6
 2020 JAN 10   00 13 21.2 35.5261 22.8992   11         2.4
 2020 JAN 10   00 42 13.1 37.3343 20.6094   14         2.2
 2020 JAN 10   01 07 41.4 37.3334 20.6378    9         1.8
 2020 JAN 10   02 43 09.8 37.3288 20.8347   19         1.6
 2020 JAN 10   03 34 29.5 39.7078 20.6374    6         2.1
 2020 JAN 10   03 53 46.5 38.4315 20.5083   14         2.2
 2020 JAN 10   04 20 00.0 38.4329 20.5014   20         1.7
 2020 JAN 10   05 23 02.6 34.8367 25.1413    9         3.4
 2020 JAN 10   05 50 38.3 37.9440 21.3474   29         2.6
 2020 JAN 10   06 40 03.9 36.4297 27.1408   18         2.9
 2020 JAN 10   06 42 50.1 37.9541 21.3135   32         2.8
 2020 JAN 10   06 48 40.5 37.9459 21.3528   30         1.5
 2020 JAN 10   07 43 39.0 37.9353 21.2819   28         1.4
 2020 JAN 10   07 52 07.0 38.1303 22.5938   18         1.5
 2020 JAN 10   07 57 39.8 38.5190 21.4462   22         1.4
 2020 JAN 10   08 17 52.2 38.3189 23.9891   15         1.8
 2020 JAN 10   08 31 10.4 38.2841 21.6792   18         1.0
 2020 JAN 10   09 18 43.6 38.2855 21.6302   27         1.9
 2020 JAN 10   10 18 57.6 35.6689 22.4561   25         3.4
 2020 JAN 10   10 34 24.4 37.8809 21.1230   27         1.6
 2020 JAN 10   10 56 49.1 37.6227 20.4034   27         2.0
 2020 JAN 10   13 31 58.9 38.4425 20.4625   18         2.4
 2020 JAN 10   13 40 54.8 37.5192 20.6314   19         2.1
 2020 JAN 10   15 26 58.6 38.4572 22.0271   16         2.1
 2020 JAN 10   16 48 10.2 37.8374 22.9161   18         1.3
 2020 JAN 10   18 14 15.6 39.1260 23.7158   13         2.0
 2020 JAN 10   18 34 43.1 38.3203 23.7891   14         1.7
 2020 JAN 10   18 41 40.5 38.3299 22.1388   11         1.5
 2020 JAN 10   19 20 01.8 34.8779 24.8584   20         2.7
 2020 JAN 10   19 29 10.0 37.5467 20.5692   13         2.0
 2020 JAN 10   19 35 36.6 37.4268 20.6104   20         1.9
 2020 JAN 10   19 42 31.9 37.5719 21.7497   13         1.3
 2020 JAN 10   19 53 49.9 38.4521 20.4346   19         1.6
 2020 JAN 10   21 00 47.4 37.6016 20.6552    8         2.0
 2020 JAN 10   21 11 33.2 37.2885 20.7010   12         1.9
 2020 JAN 10   21 17 19.9 37.4602 22.0885    7         2.0
 2020 JAN 10   21 41 49.3 38.1093 23.1990    8         1.9
 2020 JAN 10   22 07 04.4 40.4178 20.7852    9         1.7
 2020 JAN 10   22 25 18.7 38.2608 20.5692   15         1.7
 2020 JAN 10   22 45 19.2 40.4599 20.8273   23         1.7
 2020 JAN 10   23 02 47.4 35.0958 23.3844   27         2.4
 2020 JAN 10   23 12 11.7 38.3798 21.8234   13         0.9
 2020 JAN 10   23 26 04.9 38.4389 20.4744   17         1.5
 2020 JAN 10   23 28 23.9 37.4066 20.3192    8         1.8
 2020 JAN 10   23 35 24.2 38.4402 20.4886   18         1.5
 2020 JAN 10   23 45 39.4 39.4839 24.0866   16         1.4
 2020 JAN 10   23 55 27.8 37.4844 20.5234   14         1.7
 2020 JAN 11   00 06 44.9 35.3302 23.2526   36         2.0
 2020 JAN 11   00 17 52.2 36.4783 22.1375   11         1.6
 2020 JAN 11   01 18 19.9 38.0846 21.6692   16         1.0
 2020 JAN 11   01 30 03.0 38.0745 21.6673   15         0.8
 2020 JAN 11   02 58 06.0 38.4370 20.5092   16         1.9
 2020 JAN 11   03 06 00.6 40.8646 20.8475    6         2.8
 2020 JAN 11   04 14 38.0 38.4416 20.4900   18         1.6
 2020 JAN 11   04 18 20.3 36.4261 22.8616   11         1.4
 2020 JAN 11   04 45 03.1 34.7882 24.9115   11         1.5
 2020 JAN 11   05 18 50.1 35.3499 22.9350   15         2.4
 2020 JAN 11   05 42 39.0 37.6859 24.6817   27         1.2
 2020 JAN 11   07 34 31.9 34.5209 24.4318   22         2.7
 2020 JAN 11   08 52 23.2 38.7241 23.6453   26         1.3
 2020 JAN 11   09 19 26.6 37.4854 20.5225   23         2.7
 2020 JAN 11   09 35 36.7 37.4725 20.4474   20         2.1
 2020 JAN 11   09 42 04.1 38.3711 21.8907    5         0.9
 2020 JAN 11   10 30 10.2 40.4507 20.7376   13         2.3
 2020 JAN 11   10 33 37.5 38.4471 20.4515   19         2.4
 2020 JAN 11   10 36 14.9 34.9896 23.1207   16         2.8
 2020 JAN 11   10 38 42.3 37.4323 20.4510   17         2.3
 2020 JAN 11   10 50 27.0 40.4590 20.6543   10         2.2
 2020 JAN 11   12 24 41.5 37.4350 24.3063   13         2.2
 2020 JAN 11   12 49 36.2 36.5021 21.4398    5         2.3
 2020 JAN 11   14 03 45.1 38.3505 23.2480   10         1.5
 2020 JAN 11   14 51 15.2 37.5824 20.7257   39         2.1
 2020 JAN 11   15 08 51.8 35.0731 22.4740   15         2.4
 2020 JAN 11   16 35 04.5 36.4362 27.3395   71         2.4
 2020 JAN 11   17 19 31.9 37.3773 20.6488   34         1.7
 2020 JAN 11   17 25 33.6 39.3947 25.6673   16         2.0
 2020 JAN 11   18 47 36.0 35.4117 23.4201   11         1.7
 2020 JAN 11   18 49 21.2 37.4982 20.6525   21         1.7
 2020 JAN 11   18 52 09.4 37.4716 20.6058   17         1.8
 2020 JAN 11   20 25 12.6 38.0502 22.8342   10         1.4
 2020 JAN 11   21 57 21.5 35.4254 26.4862   44         2.2
 2020 JAN 11   22 30 23.2 37.5394 20.5930   20         2.3
 2020 JAN 11   23 08 13.9 37.4817 20.8484   28         2.0
 2020 JAN 11   23 26 32.9 37.6016 20.4245   31         2.2
 2020 JAN 11   23 38 58.0 36.8820 23.1674   14         1.8
 2020 JAN 11   23 41 49.7 35.2052 23.8206    9         1.7
 2020 JAN 11   23 47 55.4 37.6309 20.8255   19         3.7
 2020 JAN 12   00 05 41.7 36.8953 23.1651   13         2.5
 2020 JAN 12   00 26 11.0 37.6712 20.5307   16         2.6
 2020 JAN 12   00 51 47.7 37.1246 21.9012   17         1.4
 2020 JAN 12   01 10 59.7 37.3041 22.5787   59         2.2
 2020 JAN 12   01 24 34.2 39.9271 23.3908   18         1.8
 2020 JAN 12   01 31 26.8 38.4416 20.4305   18         1.7
 2020 JAN 12   02 09 13.6 37.7715 21.3615   28         1.1
 2020 JAN 12   02 09 38.8 37.6218 20.5765   19         1.6
 2020 JAN 12   02 15 22.5 38.4343 20.5055    7         2.9
 2020 JAN 12   03 02 01.3 39.1127 23.7090   13         1.6
 2020 JAN 12   03 35 59.2 39.0871 23.7135   15         1.5
 2020 JAN 12   03 43 38.1 35.2203 23.4174   54         2.2
 2020 JAN 12   04 16 29.1 37.1558 23.8403   16         1.6
 2020 JAN 12   05 15 00.8 35.1736 23.8358   10         1.9
 2020 JAN 12   05 33 17.8 37.0871 23.2773   25         1.8
 2020 JAN 12   05 58 49.8 38.0928 23.1697    8         2.7
 2020 JAN 12   06 20 47.8 38.5693 20.4639   11         1.3
 2020 JAN 12   06 29 30.7 37.5906 20.7706   22         1.9
 2020 JAN 12   07 13 36.7 38.8083 23.8138   14         1.6
 2020 JAN 12   07 22 15.6 38.4311 20.4959   21         1.8
 2020 JAN 12   08 15 09.5 39.0884 23.6765   30         1.5
 2020 JAN 12   08 45 53.2 38.3286 22.4551   25         1.5
 2020 JAN 12   09 57 36.9 38.0330 21.6233   14         1.3
 2020 JAN 12   10 24 22.0 37.2252 22.1146    5         1.5
 2020 JAN 12   13 34 21.9 37.6945 20.8791   13         2.0
 2020 JAN 12   13 39 03.8 38.0983 23.2045   15         1.8
 2020 JAN 12   13 44 26.8 40.4544 20.8823   24         1.8
 2020 JAN 12   13 44 38.5 38.4114 22.0125   11         2.0
 2020 JAN 12   14 54 29.3 37.2043 20.6387   17         1.9
 2020 JAN 12   15 56 05.0 37.6932 20.6644    8         2.5
 2020 JAN 12   16 59 49.9 38.8591 25.9712   15         2.0
 2020 JAN 12   18 11 56.5 37.3270 24.5663   16         1.8
 2020 JAN 12   19 01 23.3 38.1908 23.4004    7         1.3
 2020 JAN 12   19 27 48.7 37.3444 20.5719   16         2.2
 2020 JAN 12   20 11 55.3 35.7376 28.2413    5         2.2
 2020 JAN 12   20 13 53.9 37.8804 22.3787   18         2.4
 2020 JAN 12   20 37 12.0 34.6912 27.1252   84         2.7
 2020 JAN 12   21 22 19.0 39.3823 27.8979   35         2.8
 2020 JAN 12   21 51 10.7 38.4352 20.4863   17         3.1
 2020 JAN 12   21 54 39.6 38.4357 20.4987   17         2.8
 2020 JAN 12   22 28 03.2 38.4325 20.4918   18         1.9
 2020 JAN 12   22 50 40.4 38.6728 27.0419   12         3.1
 2020 JAN 12   23 09 00.4 37.2528 20.4877   18         2.5
 2020 JAN 12   23 13 36.8 35.0665 23.0695   15         2.1
 2020 JAN 12   23 57 24.7 38.4389 20.4845   19         2.9
 2020 JAN 12   23 59 01.4 38.4416 20.5064   19         2.4
 2020 JAN 13   00 05 10.3 38.3578 21.9608    8         1.8
 2020 JAN 13   00 16 13.8 38.9991 27.5877   10         2.6
 2020 JAN 13   00 16 40.1 39.0495 22.3146   18         1.3
 2020 JAN 13   00 17 03.7 38.4288 20.5083   13         1.7
 2020 JAN 13   00 22 49.1 38.4224 20.4890   13         1.9
 2020 JAN 13   00 23 25.5 38.4361 20.5211    9         2.8
 2020 JAN 13   00 38 46.6 38.4361 20.5055   14         2.0
 2020 JAN 13   01 50 06.3 38.4407 20.4817   18         2.5
 2020 JAN 13   02 08 38.9 36.6650 21.3135    8         2.5
 2020 JAN 13   02 28 44.7 38.4325 20.4872   16         2.4
 2020 JAN 13   03 02 17.1 37.6566 20.5307   20         1.7
 2020 JAN 13   03 21 13.5 35.1627 23.7570   13         1.4
 2020 JAN 13   03 36 25.9 38.3647 21.9420   13         1.0
 2020 JAN 13   05 20 00.3 37.6089 20.4648   16         2.5
 2020 JAN 13   06 15 46.8 38.4636 20.4460   23         1.9
 2020 JAN 13   06 40 30.1 38.4370 20.4799   18         2.1
 2020 JAN 13   07 56 58.9 38.4714 23.3414   11         1.3
 2020 JAN 13   08 46 55.7 38.1583 20.2249    8         2.5
