 DATE         TIME     LAT.   LONG.  DEPTH    MAGNITUDE            
                   (GMT)    (N)    (E)    (km)       (Local)
 2019 JAN  8   19 07 31.6 38.6375 21.5483   16         1.7
 2019 JAN  8   19 43 49.9 37.2590 20.5772   11         2.5
 2019 JAN  8   20 06 31.0 37.2175 20.5202   10         2.3
 2019 JAN  8   20 14 02.5 37.4293 20.4722    9         2.6
 2019 JAN  8   20 18 37.7 37.6662 20.5537   13         3.3
 2019 JAN  8   20 51 26.1 39.0748 26.3303    7         2.2
 2019 JAN  8   21 31 28.3 37.4433 20.5350    8         1.9
 2019 JAN  8   22 04 40.0 35.2067 23.2895   44         2.6
 2019 JAN  8   22 09 28.7 37.3280 21.7610   11         2.0
 2019 JAN  8   22 13 46.2 37.3563 20.2088   10         2.6
 2019 JAN  8   22 45 11.3 37.4825 20.5542   14         2.6
 2019 JAN  8   23 25 58.9 37.4382 20.6958   14         2.6
 2019 JAN  9   00 00 19.3 40.1120 21.5597   12         1.4
 2019 JAN  9   00 05 26.6 37.3770 20.7767   15         2.4
 2019 JAN  9   00 54 37.9 37.5460 20.6943   12         2.5
 2019 JAN  9   01 05 20.5 40.5238 22.4952    9         1.5
 2019 JAN  9   01 08 50.9 37.4002 20.4032    7         2.5
 2019 JAN  9   01 24 37.9 37.5737 20.7622   10         2.5
 2019 JAN  9   01 36 02.2 37.9023 23.6535   10         1.2
 2019 JAN  9   01 48 06.0 37.4005 20.4818    8         2.4
 2019 JAN  9   02 37 24.7 37.6195 20.3668    9         2.5
 2019 JAN  9   04 49 16.7 37.3790 20.7513   14         3.1
 2019 JAN  9   04 55 51.3 37.1257 20.5125   10         2.2
 2019 JAN  9   06 10 24.2 37.6307 20.3278   10         2.9
 2019 JAN  9   06 13 51.9 37.3782 20.5050   12         2.6
 2019 JAN  9   06 18 24.2 37.6456 20.6918   10         2.5
 2019 JAN  9   07 21 53.5 37.1605 20.4822    9         2.6
 2019 JAN  9   08 51 52.9 37.6870 20.5538   10         2.4
 2019 JAN  9   08 53 44.3 37.2858 20.7722   13         2.7
 2019 JAN  9   08 57 22.5 37.5528 20.6968   16         2.5
 2019 JAN  9   09 54 54.1 37.1782 20.6233   12         2.8
 2019 JAN  9   10 09 00.1 37.3597 20.6120   10         2.6
 2019 JAN  9   12 08 47.1 37.4300 20.4917   12         2.7
 2019 JAN  9   12 23 10.3 37.2793 20.6990   11         2.5
 2019 JAN  9   12 25 56.7 37.4935 20.4930    7         2.6
 2019 JAN  9   13 52 06.0 38.8610 21.1998   34         1.6
 2019 JAN  9   14 36 29.1 37.5885 20.7957   10         2.8
 2019 JAN  9   16 01 23.5 37.8518 22.5710   16         2.5
 2019 JAN  9   17 29 36.6 37.6253 20.8613    8         2.4
 2019 JAN  9   18 16 11.4 40.5422 22.3687   15         1.7
 2019 JAN  9   18 17 47.2 37.7043 20.5607   11         2.5
 2019 JAN  9   20 53 28.7 38.4528 23.4728    9         2.4
 2019 JAN  9   22 41 55.8 38.6857 22.7165   14         2.0
 2019 JAN  9   22 54 36.4 37.5673 20.7602    8         2.6
 2019 JAN 10   00 56 32.9 35.1417 25.8092   17         3.3
 2019 JAN 10   01 32 31.6 38.3250 22.2067    6         1.7
