   DATE         TIME     LAT.   LONG.  DEPTH    MAGNITUDE            
                   (GMT)    (N)    (E)    (km)       (Local)           
 2018 JAN  9   19 28 48.0 39.9200 23.6535   11         2.6
 2018 JAN  9   19 32 15.3 38.6547 23.3698    9         1.9
 2018 JAN  9   20 12 25.3 38.4017 26.6957   14         3.8
 2018 JAN  9   20 28 04.5 38.4212 26.7267   11         1.9
 2018 JAN  9   20 28 20.0 39.4390 22.9293   35         1.5
 2018 JAN  9   21 50 25.2 38.3282 22.2708    7         2.1
 2018 JAN  9   21 56 27.3 38.2350 23.6613    6         2.2
 2018 JAN  9   22 11 31.5 38.4790 20.5223    5         1.5
 2018 JAN  9   22 36 16.1 36.5468 25.4512   22         2.6
 2018 JAN  9   22 52 55.0 38.3157 22.2613   14         1.6
 2018 JAN  9   23 50 07.9 38.3237 22.2772   12         1.3
 2018 JAN 10   00 50 53.7 38.8431 22.5705   13         1.4
 2018 JAN 10   01 06 59.9 38.8211 22.5778   13         1.2
 2018 JAN 10   01 09 39.3 38.2045 22.6323   10         2.0
 2018 JAN 10   01 27 09.8 38.1218 26.6788   16         3.2
 2018 JAN 10   01 28 59.2 40.3443 24.0293    8         1.7
 2018 JAN 10   01 29 38.6 39.5093 20.3075    8         1.5
 2018 JAN 10   01 43 01.6 38.4035 26.7443   11         2.5
 2018 JAN 10   01 58 04.2 39.7554 22.1837    6         2.1
 2018 JAN 10   02 05 14.0 38.8553 25.9695   11         2.4
 2018 JAN 10   02 06 20.5 35.5340 23.5293   16         1.7
 2018 JAN 10   02 57 02.6 39.1315 23.2822    9         1.5
 2018 JAN 10   02 58 45.6 39.7462 22.1828    6         1.0
 2018 JAN 10   03 43 12.0 34.5495 25.3032   27         3.3
 2018 JAN 10   03 59 00.6 39.4510 22.9358    9         1.9
 2018 JAN 10   04 27 00.6 39.0162 26.0610   28         2.2
 2018 JAN 10   04 48 26.9 39.4337 22.9122    6         2.2
 2018 JAN 10   05 05 36.0 39.4208 22.9092    7         2.4
 2018 JAN 10   05 47 22.0 39.7627 22.2066    7         3.6
 2018 JAN 10   06 16 36.0 34.6774 23.8779    2         3.0
 2018 JAN 10   06 26 32.5 39.7568 22.1823    6         2.5
 2018 JAN 10   06 48 10.7 39.7614 22.1906    7         2.2
 2018 JAN 10   07 48 17.6 36.4198 22.9837    9         2.3
 2018 JAN 10   09 08 02.8 39.3892 25.5358   13         2.8
 2018 JAN 10   09 59 35.2 41.5392 23.5012   16         1.2
 2018 JAN 10   10 09 48.0 34.6737 25.1558   15         3.2
 2018 JAN 10   10 10 04.3 39.9280 23.6770   18         1.7
 2018 JAN 10   10 16 37.3 37.6140 26.6533   13         2.9
 2018 JAN 10   10 27 05.7 38.3765 21.6058   17         3.0
 2018 JAN 10   10 45 45.1 38.3885 21.6245   22         1.6
 2018 JAN 10   11 08 23.2 38.9638 26.1083   10         2.6
 2018 JAN 10   11 17 11.9 38.7062 20.6053    8         3.7
 2018 JAN 10   11 46 50.8 38.3942 26.6248   20         3.4
 2018 JAN 10   13 16 01.0 38.1898 22.8227   15         2.2
 2018 JAN 10   13 51 55.6 38.3070 22.2404   10         1.9
 2018 JAN 10   14 43 19.2 36.3055 27.5987   26         2.6
 2018 JAN 10   15 15 34.3 37.9338 22.5465   10         1.6
 2018 JAN 10   15 29 48.3 38.1225 23.8928   15         2.0
